time,bass,drums,vocals,other
16.00,192.16666666666666,206,146.3578947368421,116.53571428571429
16.01,190.83333333333334,203.41666666666666,146.18947368421053,116.1875
16.03,189.33333333333334,203,146.23157894736843,116.17857142857143
16.05,189,201.58333333333334,145.73684210526315,115.54464285714286
16.06,187.5,200.83333333333334,144.45263157894738,115.5
16.08,185.16666666666666,200.41666666666666,143.97894736842105,114.51785714285714
16.10,184.66666666666666,202.91666666666666,143.1578947368421,113.59821428571429
16.11,183.33333333333334,202.91666666666666,143.1578947368421,113.9375
16.13,183.16666666666666,206.16666666666666,148.70526315789473,117.50892857142857
16.15,181.16666666666666,207.08333333333334,149.38947368421051,117.95535714285714
16.16,178.16666666666666,208,149.68421052631578,118.33035714285714
16.18,176.66666666666666,207.83333333333334,149.66315789473686,118.29464285714286
16.20,175.33333333333334,207.91666666666666,148.58947368421053,117.875
16.21,173.83333333333334,209.33333333333334,148.6,117.34821428571429
16.23,173.5,207.41666666666666,148.29473684210527,117.3125
16.25,174.33333333333334,206.5,147.8,116.97321428571429
16.26,176,206.41666666666666,147.67368421052632,115.83928571428571
16.28,175.16666666666666,206.75,146.8736842105263,114.94642857142857
16.30,176.66666666666666,208.25,146.07368421052632,114.22321428571429
16.31,176.66666666666666,208.08333333333334,145.4,113.78571428571429
16.33,178.66666666666666,207,144.6421052631579,113.35714285714286
16.35,178.33333333333334,207.08333333333334,142.86315789473684,112.41071428571429
16.36,179.83333333333334,208.16666666666666,142.46315789473684,112.25
16.38,181.5,208.25,141.66315789473686,111.99107142857143
16.40,185.33333333333334,209.83333333333334,141.67368421052632,111.20535714285714
16.41,183.33333333333334,211.16666666666666,141.1578947368421,109.58928571428571
16.43,180.83333333333334,210.33333333333334,139.85263157894738,105.75
16.45,180.33333333333334,212.08333333333334,137.69473684210527,101.4375
16.46,182.16666666666666,213.41666666666666,136.2842105263158,96.72321428571429
16.48,182.83333333333334,216.83333333333334,134.68421052631578,92.04464285714286
16.50,182.33333333333334,216.33333333333334,133.05263157894737,87.82142857142857
16.51,183.5,217.33333333333334,131.0842105263158,83.70535714285714
16.53,182.16666666666666,216.08333333333334,129.33684210526314,80.20535714285714
16.55,180.5,216.66666666666666,127.50526315789473,78.74107142857143
16.56,176.16666666666666,217.25,126.29473684210527,76.41964285714286
16.58,171.66666666666666,218.41666666666666,125.3157894736842,73.20535714285714
16.60,168.66666666666666,216.91666666666666,124.6,70.17857142857143
16.61,165.5,215,122.90526315789474,66.375
16.63,164,213.25,121.10526315789474,62.357142857142854
16.65,164.33333333333334,210.16666666666666,119.51578947368421,58.5625
16.66,165,207.75,118.49473684210527,55.13392857142857
16.68,165.83333333333334,206.58333333333334,117.49473684210527,52.05357142857143
16.70,167.83333333333334,205.41666666666666,115.61052631578947,48.830357142857146
16.71,169.33333333333334,203.5,113.84210526315789,46.410714285714285
16.73,169.66666666666666,199.83333333333334,113.4421052631579,43.44642857142857
16.75,169.16666666666666,197.41666666666666,113.22105263157894,41.089285714285715
16.76,170,196,112.73684210526316,39.74107142857143
16.78,170.5,195.58333333333334,113.42105263157895,38.017857142857146
16.80,170.66666666666666,195.33333333333334,112.96842105263158,35.660714285714285
16.81,171.5,194.83333333333334,113.08421052631579,34.125
16.83,174.5,196.66666666666666,112.49473684210527,32.598214285714285
16.85,177.66666666666666,197.83333333333334,111.48421052631579,31.053571428571427
16.86,178.33333333333334,198.91666666666666,110.6,29.723214285714285
16.88,179.5,198.75,109.93684210526315,28.571428571428573
16.90,180.83333333333334,197.75,108.77894736842106,27.214285714285715
16.93,183.5,198.41666666666666,107.71578947368421,27.25
16.93,183.5,198.41666666666666,107.71578947368421,27.25
16.95,184.66666666666666,197.58333333333334,106.90526315789474,26.642857142857142
16.96,183.5,195.83333333333334,107.01052631578948,26.107142857142858
16.98,184,193,106.57894736842105,25.580357142857142
17.00,184.66666666666666,192.08333333333334,105.7578947368421,24.883928571428573
17.01,184.33333333333334,190.5,105.12631578947368,24.285714285714285
17.03,184.33333333333334,188.66666666666666,105.5578947368421,23.875
17.05,185.16666666666666,188.08333333333334,104.78947368421052,23.482142857142858
17.06,185.5,187.91666666666666,104.9578947368421,23.017857142857142
17.08,185.66666666666666,187.58333333333334,105.87368421052632,22.616071428571427
17.10,186,189.41666666666666,105.92631578947369,22.089285714285715
17.11,186.33333333333334,189.66666666666666,105.43157894736842,22.205357142857142
17.13,186.33333333333334,190.33333333333334,104.97894736842105,22.151785714285715
17.15,186.5,191,104.0421052631579,22.375
17.16,185.83333333333334,192.25,103.46315789473684,22.419642857142858
17.18,184.83333333333334,191.91666666666666,104.48421052631579,24.357142857142858
17.20,184.5,192.25,103.97894736842105,23.598214285714285
17.21,184.66666666666666,194.08333333333334,103.23157894736842,22.267857142857142
17.23,183.5,194.58333333333334,103.57894736842105,21.276785714285715
17.25,183,194,102.87368421052632,21.366071428571427
17.26,183.16666666666666,194,102.69473684210526,21.642857142857142
17.28,184.16666666666666,193.33333333333334,102.41052631578947,22.223214285714285
17.30,183,192.58333333333334,103.21052631578948,21.9375
17.31,183.66666666666666,191.58333333333334,103.45263157894736,26.571428571428573
17.33,184.16666666666666,193.33333333333334,106.62105263157895,30.4375
17.35,182.5,194.75,109.78947368421052,33.901785714285715
17.36,181.83333333333334,194.75,111.23157894736842,36.464285714285715
17.38,182.16666666666666,194.58333333333334,111.43157894736842,36.964285714285715
17.40,183.66666666666666,194.33333333333334,112.69473684210526,36.99107142857143
